composition_bin,demixing_composition
50,0.226234
50,0.331247
65-85,0.036706
50,0.335426
15-35,0.155629
50,0.271608
85-95,0.000365
50,0.855927
50,0.154845
50,0.509974
85-95,0.000621
50,0.440009
5-15,0.001175
50,0.301767
85-95,0.0295
50,0.199121
15-35,0.034189
65-85,0.857108
50,0.907293
15-35,0.287441
85-95,0.000277
50,0.460229
85-95,0.010967
50,0.209847
5-15,0.021444
65-85,0.007894
50,0.010855
15-35,0.020143
85-95,0.009406
50,0.495725
85-95,0.001882
65-85,0.057444
50,0.254907
15-35,0.119134
50,0.942126
85-95,0.001085
50,0.097884
50,0.052856
65-85,0.120632
50,0.51708
15-35,0.142346
85-95,0.002295
50,0.48581
85-95,0.014831
50,0.270642
5-15,0.010048
65-85,0.027882
50,0.112132
15-35,0.041575
50,0.312593
85-95,0.001027
50,0.316772
50,0.651979
65-85,0.0663
50,0.159094
15-35,0.039218
50,0.227496
85-95,0.004889
50,0.178805
5-15,0.001286
65-85,0.00917
50,0.01693
15-35,0.011113
65-85,0.14393
50,0.682773
50,0.05173
50,0.105334
85-95,0.000195
50,0.04693
85-95,0.00131
50,0.116361
5-15,0.009611
85-95,0.000694
65-85,0.179159
50,0.689148
15-35,0.168771
50,0.024564
85-95,0.000374
65-85,0.002871
50,0.010947
15-35,0.022319
85-95,0.000288
50,0.294497
85-95,0.000807
50,0.272386
65-85,0.006874
50,0.079831
50,0.176224
85-95,0.000995
5-15,0.004963
85-95,0.000665
65-85,0.01191
50,0.024566
15-35,0.046447
85-95,0.001915
50,0.27323
85-95,0.000171
85-95,0.044044
50,0.178844
15-35,0.029138
65-85,0.054819
50,0.105988
65-85,0.007834
50,0.106683
15-35,0.1351
85-95,9.2e-05
65-85,0.084397
50,0.353646
15-35,0.194451
85-95,0.00019
65-85,0.070099
50,0.325522
15-35,0.130801
85-95,0.000272
50,0.107424
85-95,0.000572
65-85,0.01034
50,0.015884
15-35,0.003451
65-85,0.088441
50,0.393032
15-35,0.035418
85-95,0.006133
50,0.122404
65-85,0.11456
50,0.040882
15-35,0.003657
