interaction_type,demixing
C-H,0.000246
C-H,0.007348
C-H,0.032619
C-H,0.044157
C-C,0.008678
C-C,0.046702
C-C,0.124748
C-C,0.048275
C-C,0.009636
C-C,0.002372
C-C,0.004144
C-C,0.011213
C-C,0.015093
C-C,0.013576
C-C,0.009056
C-C,0.059695
C-C,0.143092
C-C,0.083023
C-C,0.010344
C-P,0.01348
C-H,0.035895
C-C,0.009247
C-C,0.025119
C-C,0.049786
C-C,0.037296
C-C,0.014232
C-H,0.006104
C-H,0.411254
C-H,0.774527
C-H,0.453758
C-H,0.066806
C-H,0.018806
C-H,0.213342
C-H,0.065486
C-H,0.001245
C-H,0.013651
C-H,0.05047
C-H,0.029168
C-C,0.000963
C-C,0.085097
C-C,0.384163
C-C,0.237825
C-C,0.017507
C-C,0.005686
C-C,0.170314
C-C,0.494505
C-C,0.235528
C-C,0.015582
C-H,0.659295
C-H,0.953629
C-H,0.202795
C-H,0.076123
C-H,0.994729
C-H,0.37394
C-H,0.111224
C-H,0.009184
C-H,0.063893
C-H,0.644238
C-H,0.291751
C-H,0.098803
C-H,0.013509
C-H,0.110421
C-H,0.227589
C-C,0.248634
C-C,0.709433
C-C,0.236128
C-C,0.001571
C-C,0.032463
C-C,0.253641
C-C,0.301059
C-C,0.278686
C-C,0.055929
C-P,0.015867
C-H,0.023958
C-C,0.000772
C-C,0.002814
C-C,0.010058
C-C,0.006132
C-C,0.004102
C-C,0.140163
C-C,0.402944
C-C,0.149451
C-H,0.007019
C-H,0.046
C-H,0.109079
C-H,0.096489
C-H,0.000478
C-H,0.001889
C-H,0.006977
C-H,0.009179
C-H,0.001363
C-H,0.00053
C-H,0.010667
C-H,0.027058
C-H,0.029008
C-H,0.006464
C-H,0.001153
C-H,0.003974
C-H,0.05247
C-H,0.061744
C-C,0.002465
C-C,0.012829
C-C,0.037823
C-C,0.066622
C-C,0.046878
C-C,0.076149
C-C,0.272611
C-C,0.009934
C-C,0.200104
C-C,0.351699
C-C,0.153322
C-C,0.013419
C-P,0.072947
C-P,0.274625
C-H,0.063791
C-H,0.200135
C-C,0.005457
C-C,0.013927
C-C,0.010984
C-H,0.002134
C-H,0.014622
C-H,0.156662
C-H,0.13893
C-H,0.055041
C-H,0.000722
C-H,0.015903
C-H,0.025455
C-H,0.046253
C-H,0.011886
C-H,0.001307
C-H,0.011728
C-H,0.025667
C-H,0.035162
C-H,0.033887
C-C,0.005043
C-C,0.016284
C-C,0.045277
C-C,0.040349
C-C,0.005201
C-C,0.030544
C-C,0.004024
C-C,0.031952
C-C,0.061446
C-C,0.061557
C-C,0.021472
C-H,0.078023
C-C,0.000802
C-C,0.005917
C-C,0.033822
C-C,0.028726
C-C,0.008355
C-C,0.010431
C-C,0.08743
C-C,0.237046
C-C,0.097709
C-C,0.018438
C-H,0.081168
C-H,0.562669
C-H,0.899039
C-H,0.338815
C-H,0.202655
C-H,0.676941
C-H,0.373582
C-H,0.004803
C-H,0.063199
C-H,0.152357
C-H,0.180532
C-H,0.044247
C-C,0.004229
C-C,0.011945
C-C,0.113436
C-C,0.23332
C-C,0.124071
C-C,0.065308
C-P,0.028197
C-H,0.021984
C-C,0.001986
C-C,0.003956
C-C,0.009411
C-C,0.005625
C-C,0.002819
C-C,0.015732
C-C,0.057754
C-C,0.081079
C-C,0.04293
C-C,0.015382
C-H,0.009036
C-H,0.371023
C-H,0.655733
C-H,0.264012
C-H,0.050559
C-H,0.001654
C-H,0.019014
C-H,0.12233
C-H,0.084187
C-H,0.024091
C-H,0.000874
C-H,0.008509
C-H,0.014866
C-H,0.016955
C-H,0.005857
C-H,0.001898
C-H,0.003164
C-H,0.019778
C-H,0.029823
C-C,0.059377
C-C,0.156004
C-C,0.039274
C-C,0.006458
C-C,0.011507
C-C,0.031395
C-C,0.019358
C-C,0.002209
C-C,0.001911
C-C,0.003056
C-C,0.004461
C-C,0.005802
C-C,0.017969
C-C,0.012772
C-C,0.035012
C-C,0.172599
C-C,0.047795
C-C,0.017448
C-P,0.041655
C-H,0.031003
C-H,0.235751
C-H,0.602568
C-H,0.973889
C-H,0.301048
C-H,0.116853
C-H,0.000939
C-H,0.194483
C-H,0.841391
C-H,0.437599
C-H,0.029493
C-H,0.07563
C-H,0.316035
C-H,0.233567
C-H,0.003994
C-H,0.049999
C-H,0.210748
C-C,0.206148
C-C,0.532518
C-C,0.18897
C-C,0.003697
C-C,0.03834
C-C,0.182857
C-C,0.176886
C-C,0.001464
C-C,0.021743
C-C,0.010014
C-C,0.144026
C-C,0.210915
C-C,0.130482
C-H,0.041658
C-C,0.00716
C-C,0.021222
C-C,0.035429
C-C,0.019357
C-C,0.00207
C-H,0.002503
C-H,0.04682
C-H,0.203311
C-H,0.107057
C-H,0.011507
C-H,0.000865
C-H,0.017842
C-H,0.010509
C-H,0.002257
C-H,0.000481
C-H,0.002653
C-H,0.003776
C-H,0.001608
C-H,0.00034
C-H,0.001124
C-H,0.009216
C-H,0.025874
C-C,0.003276
C-C,0.007046
C-C,0.01484
C-C,0.001846
C-C,0.000901
C-C,0.002376
C-C,0.007068
C-C,0.031585
C-C,0.022672
C-P,0.001062
C-P,0.005049
C-P,0.026742
C-C,0.000727
C-C,0.035794
C-C,0.002725
C-C,0.007321
C-C,0.021235
C-C,0.004872
C-C,0.000893
C-P,0.033155
C-H,0.03119
C-H,0.057387
C-H,0.739124
C-H,0.904796
C-H,0.31759
C-H,0.037775
C-H,0.003708
C-H,0.274673
C-H,0.830757
C-H,0.311603
C-H,0.067018
C-H,0.00279
C-H,0.032312
C-H,0.169756
C-H,0.071997
C-H,0.002367
C-C,0.007458
C-C,0.020057
C-C,0.083872
C-C,0.025003
C-C,0.008196
C-C,0.00543
C-C,0.016042
C-C,0.025395
C-C,0.026363
C-C,0.011976
C-P,0.002904
C-P,0.01567
C-P,0.016105
C-C,0.001418
C-C,0.004552
C-C,0.055421
C-C,0.129469
C-C,0.035121
C-C,0.008402
H-H,0.004176
H-H,0.024797
H-H,0.04952
H-H,0.015701
H-H,0.002377
H-H,0.015603
H-H,0.07507
H-H,0.132758
H-H,0.018872
H-H,0.096591
H-H,0.209601
H-H,0.029872
C-H,0.082276
C-H,0.329181
C-H,0.687591
C-H,0.225469
C-H,0.006047
C-H,0.043809
C-H,0.176455
C-H,0.372191
C-H,0.064748
C-H,0.002916
C-H,0.066958
C-H,0.175755
C-H,0.817988
H-P,0.034683
H-P,0.149609
